"Type","Speaker","Topic","Year"
"Keynote","Michael Macy","Opportunities and challenges for computational social science",2015
"Keynote","Jure Leskovec","Structure and dynamics of information propagation",2015
"Plenary","Omar Guerrero, Eduardo Lopez, Robert Axtell","Labor flows and unemployment mediated by networks",2015
"Keynote","Duncan Watts","An experimental study of collective self-organization in crisis mapping",2015
"Keynote","Matthew Jackson","Multiplexing and the interaction between borrowing, favor exchange, and advice networks: how changes in one social network lead to changes in another",2015
"Plenary","Telecom Italy (SKIL Lab & Future Center), Fondazione Bruno Kessler (I3 & Mobs), MIT-Media Lab (Human Dynamics), Telefonica R & D (User, Media Intelligence), Trento-RISE (smart CROWDS)","The Mobile Territorial Lab – A joint research/industrial living lab to investigate individual and social dynamics",2015
"Networks","Janos Kertesz, Balazs Lengyel, Bence Sagvari, Janos Torok, Zhongyuan Ruan","The full life cycle of an online social network",2015
"Networks","Young-Ho Eom, Hang-Hyun Jo","Generalized friendship paradox in social networks: Why our friends are ""better"" than we are",2015
"Networks","Marcella Tambuscio, Giancarlo Ruffo, Alessandro Flammini, Filippo Menczer","Fact-checking effect on viral hoaxes: a model of misinformation spread in social networks",2015
"Networks","Tal Altshuler, Yoram Shiftan, Rachel Katoshevski, Nuria Oliver, Alex Pentland, Erez Shmueli, Yaniv Altshuler","The network dimension of ride sharing",2015
"Networks","Martha Russell, Jukka Huhtamaki, Kaisa Still, Neil Rubens, Jiafeng Yu, Rahul Basole","Visualizing transformative networks in innovation ecosystems",2015
"Networks","Valerio Ciotti, Vito Latora, Pietro Panzarasa","Birds of a feather? Revisiting homophily and tie creation in social networks",2015
"Online Social Media","Venkata Rama, Ingmar Weber, Sonya Dal Cin","From “I love you babe” to “leave me alone”-romantic relationship breakups on Twitter",2015
"Online Social Media","Galena Kostoska, Marcos Baez, Florian Daniel, Fabio Casati","Virtual, remote participation in museum visits by older adults",2015
"Online Social Media","Riccardo Fusaroli, Marcus Perlman, Alan Mislove, Alexandra Paxton, Teenie Matlock, Rick Dale","Timescales of massive human entrainment",2015
"Online Social Media","Kazutoshi Sasahara","Emergence of novel collective phenomena in Twitter",2015
"Online Social Media","Luca Maria Aiello, Rossano Schifanella, Bogdan State","Decomposition of social ties with Blau’s exchange theory",2015
"Online Social Media","Yelena Mejova, Bob Boynton","Language plurality in Twitter political speech",2015
"Games and Economic Behavior","Matthieu Cristelli, Andrea Tacchella, Luciano Pietronero","Measuring the intangible growth potential of countries: weather-like forecasting for economics",2015
"Games and Economic Behavior","Jeffrey Naecker, Alex Peysakhovich","Evaluating models of choice under risk and ambiguity using methods from machine learning",2015
"Games and Economic Behavior","Katarzyna Growiec, Jakub Growiec","The impact of bridging and bonding social capital on individual earnings: evidence for an inverted U",2015
"Games and Economic Behavior","Per Engstrom, Eskil Forsell","Demand effects of consumers’ stated and revealed preferences",2015
"Games and Economic Behavior","Alessio E Biondo, Alessandro Pluchino, Andrea Rapisarda, Dirk Helbing","Micro and macro benefits of random investments in financial markets",2015
"Games and Economic Behavior","Lukas Norbutas, Rense Corten","Freecycling in the sharing economy: sustainability of generalized exchange in Facebook networks",2015
"Opinion Dynamics","Michael Mas, Lukas Bischofberger","Web personalization and opinion polarization",2015
"Opinion Dynamics","Rion Brattig Correia, Kwan Nok Chan, Luis M Rocha","Discourse polarization in the US congress",2015
"Opinion Dynamics","Philippos Louis, Orestis Troumpounis, Nikolaos Tsakas","On the unidimensionality of opinions: an experiment",2015
"Opinion Dynamics","Hitoshi Yamamoto, Yuki Ogawa, Tetsuro Kobayashi, Takahisa Suzuki","Effects of social media contacts on perceived distributions of opinions",2015
"Opinion Dynamics","Samuel Martin, Corentin Vande Kerckhove, Pascal Gend, Jason Rentfrow, Julien M Hendrickx, Vincent D Blondel","Modeling influence and opinion evolution in online collective behavior",2015
"Opinion Dynamics","Alexandru-Ionut Babeanu, Leandros Talman, Diego Garlaschelli","Structural properties of realistic cultural space distributions",2015
"Content Analysis","Matthew Denny, James Ben-Aaron, Hanna Wallach, Bruce Desmarais","Content-conditioned hierarchical latent space models for textual communication networks",2015
"Content Analysis","Sergei Koltcov, Olessia Koltsova, Sergey Nikolenko","Topic modeling stability and granulated LDA",2015
"Content Analysis","Martin Gerlach, Tiago P Peixoto, Eduardo G Altmann","Community detection of words: topic models and scaling laws",2015
